S.No,DSA Topic,LeetCode ID,Title,Difficulty,URL,Acceptance %,Max Frequency %,Companies Asking,# Companies,Status,Attempts,Date Completed,Time Taken (mins),Confidence (1-5),Needs Revision,Notes
1,Arrays & Hashing,41,First Missing Positive,Hard,https://leetcode.com/problems/first-missing-positive,42.4%,75.0%,Amazon | Apple | Flipkart | Google | Meta | Microsoft | Netflix | Salesforce | ServiceNow | TikTok,10,Not Done,0,,,,No,
2,Arrays & Hashing,381,Insert Delete GetRandom O(1) - Duplicates allowed,Hard,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,36.4%,62.5%,Amazon | Apple | Google | LinkedIn | Meta | Microsoft | TikTok | Uber,8,Not Done,0,,,,No,
3,Arrays & Hashing,220,Contains Duplicate III,Hard,https://leetcode.com/problems/contains-duplicate-iii,24.4%,87.5%,Airbnb | Amazon | Google | Meta | Microsoft | Netflix,6,Not Done,0,,,,No,
4,Arrays & Hashing,829,Consecutive Numbers Sum,Hard,https://leetcode.com/problems/consecutive-numbers-sum,42.6%,50.0%,Amazon | DE Shaw | Google | Microsoft | TikTok,5,Not Done,0,,,,No,
5,Arrays & Hashing,2035,Partition Array Into Two Arrays to Minimize Sum Difference,Hard,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,23.0%,37.5%,Amazon | Google | Meta | Microsoft | Salesforce,5,Not Done,0,,,,No,
6,Arrays & Hashing,2444,Count Subarrays With Fixed Bounds,Hard,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,69.3%,62.5%,Amazon | Google | Meta | Microsoft | Uber,5,Not Done,0,,,,No,
7,Arrays & Hashing,2163,Minimum Difference in Sums After Removal of Elements,Hard,https://leetcode.com/problems/minimum-difference-in-sums-after-removal-of-elements,69.9%,37.5%,Amazon | Google | Meta | Microsoft | Uber,5,Not Done,0,,,,No,
8,Arrays & Hashing,321,Create Maximum Number,Hard,https://leetcode.com/problems/create-maximum-number,34.6%,62.5%,Amazon | Flipkart | Google | Microsoft,4,Not Done,0,,,,No,
9,Arrays & Hashing,1095,Find in Mountain Array,Hard,https://leetcode.com/problems/find-in-mountain-array,41.1%,25.0%,Amazon | Google | Meta | Microsoft,4,Not Done,0,,,,No,
10,Arrays & Hashing,1948,Delete Duplicate Folders in System,Hard,https://leetcode.com/problems/delete-duplicate-folders-in-system,77.7%,50.0%,Amazon | Google | Microsoft | Nvidia,4,Not Done,0,,,,No,
